# Mods to download (manual / helper list)

# Format: filename[TAB]source

automated-defence-1.0.3.jar	https://fabricmc.net/ (verify for Forge build)
bettervillage-forge-1.20.1-3.3.1-all.jar	https://www.curseforge.com/minecraft/mc-mods/better-village-forge
booklinggear-1.20.1-3.15.jar	MCreator / author page
born_in_chaos_[Forge]1.20.1_1.7.5.jar	MCreator (verify)
CaveDwellerAdvanced-1.20.1-V1.0.0.jar	(unknown)
cloth-config-11.1.136-forge.jar	https://www.curseforge.com/minecraft/mc-mods/cloth-config-forge
Clumps-forge-1.20.1-12.0.0.4.jar	https://www.curseforge.com/minecraft/mc-mods/clumps
coroutil-forge-1.20.1-1.3.7.jar	https://www.curseforge.com/minecraft/mc-mods/coroutil
corpse-forge-1.20.1-1.0.23.jar	https://www.curseforge.com/minecraft/mc-mods/corpse
curios-forge-5.14.1+1.20.1.jar	https://www.curseforge.com/minecraft/mc-mods/curios
embeddium-0.3.31+mc1.20.1.jar	https://www.curseforge.com/minecraft/mc-mods/embeddium
entityculling-forge-1.10.5-mc1.20.1.jar	https://modrinth.com/mod/entityculling
epic-fight-20.14.17-mc1.20.1-forge.jar	https://www.curseforge.com/minecraft/mc-mods/epic-fight-mod
ferritecore-6.0.1-forge.jar	https://www.curseforge.com/minecraft/mc-mods/ferrite-core
geckolib-forge-1.20.1-4.8.4.jar	http://geckolib.com/
jei-1.20.1-forge-15.49.0.200.jar	https://www.curseforge.com/minecraft/mc-mods/jei
modernfix-forge-5.27.77+mc1.20.1.jar	https://modrinth.com/mod/modernfix
starlight-1.1.2+forge.jar	https://www.curseforge.com/minecraft/mc-mods/starlight-forge
morevillagers-forge-1.20.1-5.0.0.jar	https://www.curseforge.com/minecraft/mc-mods/more-villagers

# Note: some mods are on Modrinth or the author's site; prefer official project pages and always download the Forge build for MC 1.20.1.
